,company_email_domain,company_primary_industry,company_revenue,company_it_budget_mil,company_fi_budget_mil,company_mk_budget_mil,three_yr_sales_growth_%,fiscal_year_end,number_of_employees,three_yr_employees_growth_%,company_it_employees,company_fortune_rank,company_ownership,company_linkedin_url,my_notes_on_company,company_profile_url,company_other_names,company_sic_codes,company_naics_codes,company_business_model_b2bb2cb2g,number_of_locations,hospital_beds,company_global_2000_rank,technologies_searched,technologies_matched,company_technologies_excludes_hg_data_technologies,company_technologies_excludes_hg_data_technologies_cont1,company_technologies_excludes_hg_data_technologies_cont2,advertising,agency_of_record,audit,business_intelligencebig_data,collaboration,crm__marketing_automation,data_management,data_storage,databases,ecommerce,enterprise_applications,erp,finance,hardwareossystems_environment,hr,itsm,languages,medical,mobility,networking,programming_tools,security,servers,service_providers,telecommunications,virtualization,company_record_type,company_primary_industry_missing_flag,company_it_budget_mil_missing_flag,company_fi_budget_mil_missing_flag,company_mk_budget_mil_missing_flag,company_ownership_missing_flag,company_business_model_b2bb2cb2g_missing_flag,company_technologies_excludes_hg_data_technologies_missing_flag,company_technologies_excludes_hg_data_technologies_cont1_missing_flag,company_technologies_excludes_hg_data_technologies_cont2_missing_flag,advertising_missing_flag,agency_of_record_missing_flag,business_intelligencebig_data_missing_flag,collaboration_missing_flag,crm__marketing_automation_missing_flag,data_management_missing_flag,data_storage_missing_flag,databases_missing_flag,ecommerce_missing_flag,enterprise_applications_missing_flag,erp_missing_flag,finance_missing_flag,hardwareossystems_environment_missing_flag,hr_missing_flag,itsm_missing_flag,languages_missing_flag,medical_missing_flag,mobility_missing_flag,networking_missing_flag,programming_tools_missing_flag,security_missing_flag,servers_missing_flag,service_providers_missing_flag,telecommunications_missing_flag,virtualization_missing_flag,company_record_type_missing_flag,pct_missing,company_age
41265,nhs.net,0.0,1101014250.0,0.0,0.0,0.0,0.0,,7500,0.0,585.0,,0,linkedin.com/company/eastsussuexhealthcarenhstrust/,,https://go.discoverydb.com/eui/#/company/22805,"esht.nhs.uk, Pharmaceutical Manufacturing Unit- Eastbourne Pharmaceuticals(NHS)",8062,622110,0.0,,833,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0.2857142857142857,8.0
43167,nhs.net,0.0,4250000.0,0.0,0.0,0.0,,,279,,16.0,,0,https://www.linkedin.com/company/nhs-cambridgeshire,,https://go.discoverydb.com/eui/#/company/4088483,"Cambridgeshire & Peterborough CCG (Clinical Commissioning Group), Cambridgeshire and Peterborough CCG (Clinical Commissioning Group), Cambridgeshire Peterborough CCG, Cambridgeshire Peterborough CCG (Clinical Commissioning Group), NHS Cambridgeshire & Peterborough CCG (Clinical Commissioning Group), NHS Cambridgeshire and Peterborough CCG (Clinical Commissioning Group)",9431,923120,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0.5142857142857142,8.0
43653,nhs.net,0.0,375297350.0,0.0,0.0,0.0,,,2658,,,,98693,https://www.linkedin.com/company/5232659,,https://go.discoverydb.com/eui/#/company/4088763,,8099,621999,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.8571428571428571,8.0
47475,nhs.net,0.0,223000000.0,0.0,0.0,0.0,,,3318,,259.0,,0,https://www.linkedin.com/.../kent-and-medway-nhs-&-social-care-partnership-trust,,https://go.discoverydb.com/eui/#/company/4031474,,8062,622110,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0.4,
47522,nhs.net,0.0,155000000.0,0.0,0.0,0.0,0.0,,3000,0.0,14.0,,98693,www.linkedin.com/company/plymouth-community-healthcare-cic,,https://go.discoverydb.com/eui/#/company/23096,"Plymouth Community Healthcare, Plymouth Hospitals NHS Trust",8062,622110,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0.37142857142857144,
48606,nhs.net,0.0,30560000.0,0.0,0.0,0.0,,,251,,12.0,,0,,,https://go.discoverydb.com/eui/#/company/4078665,,9199,921190,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.8857142857142857,8.0
49650,nhs.net,0.0,421468255.0,0.0,0.0,0.0,,,2871,,224.0,,98693,linkedin.com/company/nhsdumfries&galloway,,https://go.discoverydb.com/eui/#/company/4087582,,8062,622110,0.0,,344,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.8,
49651,nhs.net,0.0,2055226600.0,0.0,0.0,0.0,,,14000,,1092.0,,98693,linkedin.com/company/nhs-tayside,,https://go.discoverydb.com/eui/#/company/4086233,,8011,621111,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0.5428571428571428,
50625,nhs.net,0.0,1276010989.0,0.0,0.0,0.0,,,8500,,696.0,,98693,https://www.linkedin.com/company/560274?trk=tyah,,https://go.discoverydb.com/eui/#/company/4078580,,8099,622110,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0.6,8.0
52643,nhs.net,0.0,2495632300.0,0.0,0.0,0.0,,,17000,,1326.0,,98693,https://www.linkedin.com/company/3884005,,https://go.discoverydb.com/eui/#/company/4078626,,8062,622110,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0.6285714285714286,271.0
53509,nhs.net,0.0,516510008.0,0.0,0.0,0.0,0.0,,4750,0.0,371.0,,0,www.linkedin.com/company/maidstone-and-tunbridge-wells-nhs-trust,,https://go.discoverydb.com/eui/#/company/23423,Maidstone and Tunbridge Wells NHS Trust,8062,622110,0.0,,912,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.17142857142857143,8.0
54514,nhs.net,0.0,440405700.0,0.0,0.0,0.0,,,3000,,234.0,,98693,www.linkedin.com/company/leeds-community-healthcare-nhs-trust,,https://go.discoverydb.com/eui/#/company/4031575,"LCH, Leeds Community Healthcare NHS Trust",8062,622110,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0.45714285714285713,
60656,nhs.net,0.0,187720000.0,0.0,0.0,0.0,0.0,,1628,0.0,127.0,,0,www.linkedin.com/company/papworth-hospital-nhs-foundation-trust,,https://go.discoverydb.com/eui/#/company/23005,"papworth.nhs.uk, www.papworthhospital.nhs.uk",8069,622310,0.0,1.0,310,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0.2857142857142857,102.0
60982,nhs.net,0.0,384570000.0,0.0,0.0,0.0,0.0,12.0,5800,0.0,453.0,,0,www.linkedin.com/company/worcestershire-acute-nhs-trust,,https://go.discoverydb.com/eui/#/company/30016,,8062,622110,0.0,,954,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0.2857142857142857,20.0
62291,nhs.net,0.0,69000000.0,0.0,0.0,0.0,0.0,,2000,0.0,156.0,,0,www.linkedin.com/company/devon-partnership-nhs-trust,,https://go.discoverydb.com/eui/#/company/27399,,8099,621999,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0.42857142857142855,19.0
62629,nhs.net,0.0,3117290000.0,0.0,0.0,0.0,0.0,12.0,6158,0.0,276.0,,0,linkedin.com/company/nhsengland/,,https://go.discoverydb.com/eui/#/company/22558,"National Health Service, National Health Service (NHS) in England, National Health Service England, National Health Service in England, NHS Commissioning Board",9431,923120,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,8.0
64280,nhs.net,0.0,662390000.0,0.0,0.0,0.0,0.0,,7285,0.0,569.0,,0,www.linkedin.com/company/derby-hospitals-nhs-foundation-trust,,https://go.discoverydb.com/eui/#/company/22826,Derby Hospitals NHS Foundation Trust,8062; 8099,622110,0.0,,1100,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0.5714285714285714,8.0
64638,nhs.net,0.0,392000000.0,0.0,0.0,0.0,0.0,,2854,0.0,223.0,,0,linkedin.com/company/north-middlesex-hospital,,https://go.discoverydb.com/eui/#/company/22959,,8062; 8069,622110,0.0,,420,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0.34285714285714286,
70981,nhs.net,0.0,505000000.0,0.0,0.0,0.0,0.0,,5600,0.0,437.0,,0,www.linkedin.com/company/wirral-university-teaching-hospital-nhs-foundation-trust,,https://go.discoverydb.com/eui/#/company/22881,"Arrowe Park Hospital, Clatterbridge Hospital, nhs.net, Wirral University Teaching Hospital NHS Foundation Trust",8062,622110,0.0,,855,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0.4857142857142857,
75878,nhs.net,0.0,422280000.0,0.0,0.0,0.0,,,6500,,507.0,,0,www.linkedin.com/company/tees-esk-&-wear-valleys-nhs-foundation-trust,,https://go.discoverydb.com/eui/#/company/4032127,TEW Valleys NHS Foundation Trust,8322,624120,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.22857142857142856,14.0
83393,nhs.net,0.0,299182272.0,0.0,0.0,0.0,,,2038,,159.0,,98693,https://www.linkedin.com/company/3245153,,https://go.discoverydb.com/eui/#/company/4087430,,9431,923120,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0.4,8.0
83776,nhs.net,0.0,257000000.0,0.0,0.0,0.0,0.0,,3000,0.0,234.0,,0,www.linkedin.com/company/nhs-trust,,https://go.discoverydb.com/eui/#/company/22839,"Royal Surrey County Hospital, Royal Surrey County NHS Foundation Trust, royalsurrey.nhs.uk, RSCH",8062; 8069,622110,0.0,,527,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.2571428571428571,
84478,nhs.net,0.0,1161000000.0,0.0,0.0,0.0,0.0,,12000,0.0,936.0,,98693,www.linkedin.com/company/king's-college-hospital-nhs-foundation-trust,,https://go.discoverydb.com/eui/#/company/22949,,8062,622110,0.0,,950,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,8.0
86905,nhs.net,0.0,477000000.0,0.0,0.0,0.0,0.0,,4000,0.0,312.0,,0,https://www.linkedin.com/company/the-whittington-hospital-nhs-trust,,https://go.discoverydb.com/eui/#/company/23041,Whittington Health,8062,622110,0.0,,360,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.17142857142857143,8.0
92515,nhs.net,0.0,683000000.0,0.0,0.0,0.0,0.0,,7247,0.0,566.0,,0,www.linkedin.com/company/lewisham,,https://go.discoverydb.com/eui/#/company/22679,"Lewisham Healthcare NHS Trust, Lewisham NHS Trust (formerly), NHS Lewisham",8062,622110,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0.37142857142857144,7.0
109250,nhs.net,0.0,320000000.0,0.0,0.0,0.0,0.0,,3509,0.0,274.0,,0,https://www.linkedin.com/company/east-cheshire-nhs-trust,,https://go.discoverydb.com/eui/#/company/22988,,8062,622110,0.0,,420,,Virtualization: Microsoft Azure,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0.4,
109573,nhs.net,0.0,4486820000.0,0.0,0.0,0.0,,,140000,,54.0,,0,www.linkedin.com/company/nhs-national-services-scotland,,https://go.discoverydb.com/eui/#/company/4063761,"NHS National Services Scotland, nhs nss, NHS Scotland, nhsnss",9199,921190,0.0,,,,Virtualization: Microsoft Azure,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.17142857142857143,
